time_s,stage,stage_time_s,pump_pwm,temp_c,raw_adc,cooling_on,notes
627,4,83,900,22.635956,2155.8,1,cooling
629,4,85,900,23.29654,2125.4,1,cooling
631,4,87,900,22.9409784,2141.75,1,cooling
633,4,89,900,22.856292,2145.65,1,cooling
635,4,91,900,22.849762,2145.95,1,cooling
638,4,94,900,22.981202,2139.9,1,cooling
640,4,96,900,22.85736,2145.6,1,cooling
642,4,98,900,23.095306,2134.65,1,cooling
644,4,100,900,23.15509,2131.9,1,cooling
647,4,103,900,23.365082,2122.25,1,cooling
649,4,105,900,23.62323,2110.4,1,cooling
651,4,107,900,23.818482,2101.45,1,cooling
653,4,109,900,23.18338,2130.6,1,cooling
655,4,111,900,22.847596,2146.05,1,cooling
658,4,114,900,23.021392,2138.05,1,cooling
660,4,116,900,22.802002,2148.15,1,cooling
662,4,118,900,22.986634,2139.65,1,cooling
664,4,120,900,22.594726,2157.7,1,cooling
667,4,123,900,22.943176,2141.65,1,cooling
669,4,125,900,22.66092,2154.65,1,cooling
671,4,127,900,22.61969,2156.55,1,cooling
673,4,129,900,22.849762,2145.95,1,cooling
675,4,131,900,22.875824,2144.75,1,cooling
678,4,134,900,22.951874,2141.25,1,cooling
680,4,136,900,23.168182,2131.3,1,cooling
682,4,138,900,23.01596,2138.3,1,cooling
684,4,140,900,22.847596,2146.05,1,cooling
686,4,142,900,22.760742,2150.05,1,cooling
689,4,145,900,23.1953424,2130.05,1,cooling
691,4,147,900,23.007294,2138.7,1,cooling
693,4,149,900,22.671784,2154.15,1,cooling
695,4,151,900,22.932312,2142.15,1,cooling
697,4,153,900,23.177948,2130.85,1,cooling
700,4,156,900,22.683686,2153.6,1,cooling
702,4,158,900,23.137696,2132.7,1,cooling
704,4,160,900,22.867126,2145.15,1,cooling
706,4,162,900,23.279114,2126.2,1,cooling
708,4,164,900,22.575226,2158.6,1,cooling
711,4,167,900,22.882354,2144.45,1,cooling
713,4,169,900,22.8237,2147.15,1,cooling
715,4,171,900,22.907318,2143.3,1,cooling
717,4,173,900,22.726014,2151.65,1,cooling
720,4,176,900,23.121398,2133.45,1,cooling
722,4,178,900,23.25409,2127.35,1,cooling
724,5,0,1023,22.996398,2139.2,1,cooling
726,5,2,1023,23.29654,2125.4,1,cooling
729,5,5,1023,22.987732,2139.6,1,cooling
731,5,7,1023,22.64029,2155.6,1,cooling
733,5,9,1023,22.318328,2170.45,1,cooling
735,5,11,1023,22.4851984,2162.75,1,cooling
737,5,13,1023,23.2334284,2128.3,1,cooling
740,5,16,1023,23.16925,2131.25,1,cooling
742,5,18,1023,22.901886,2143.55,1,cooling
744,5,20,1023,23.223632,2128.75,1,cooling
746,5,22,1023,22.937744,2141.9,1,cooling
748,5,24,1023,22.285828,2171.95,1,cooling
751,5,27,1023,22.307496,2170.95,1,cooling
753,5,29,1023,22.51883,2161.2,1,cooling
755,5,31,1023,23.063782,2136.1,1,cooling
757,5,33,1023,23.38031,2121.55,1,cooling
759,5,35,1023,22.587158,2158.05,1,cooling
762,5,38,1023,22.753144,2150.4,1,cooling
764,5,40,1023,22.439698,2164.85,1,cooling
766,5,42,1023,22.418,2165.85,1,cooling
768,5,44,1023,22.39093,2167.1,1,cooling
770,5,46,1023,22.468964,2163.5,1,cooling
773,5,49,1023,22.709748,2152.4,1,cooling
775,5,51,1023,22.58606,2158.1,1,cooling
777,5,53,1023,22.515564,2161.35,1,cooling
779,5,55,1023,22.383332,2167.45,1,cooling
